127.0.0.1 - - [17/Apr/2018:15:23:47 +0700] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:23:48 +0700] "GET /clbtinhoc/WEB-INF/jsp/admin/roles/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:23:48 +0700] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:23:55 +0700] "GET /clbtinhoc/ HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:23:55 +0700] "GET /clbtinhoc/resources/ckfinder/ckfinder.js HTTP/1.1" 200 309905
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:23:55 +0700] "GET /clbtinhoc/resources/ckeditor/ckeditor.js HTTP/1.1" 200 687932
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/login HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 200 70892
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/vendor/animate/animate.css HTTP/1.1" 200 23877
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31037
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27514
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19714
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/vendor/select2/select2.min.css HTTP/1.1" 200 15217
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86752
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 125094
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/css/main.css HTTP/1.1" 200 12682
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:26:52 +0700] "GET /clbtinhoc/resources/auth/css/util.css HTTP/1.1" 200 86907
