127.0.0.1 - - [20/Apr/2018:15:51:41 +0700] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:52:44 +0700] "GET /clbtinhoc/admin/ HTTP/1.1" 500 10848
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:52:44 +0700] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/admin/ HTTP/1.1" 200 6958
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/resources/admin/css/sb-admin-2.css HTTP/1.1" 200 8754
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/resources/admin/vendor/morrisjs/morris.css HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/resources/admin/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/resources/admin/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29100
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/resources/ckeditor/ckeditor.js HTTP/1.1" 200 687932
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/resources/admin/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/resources/admin/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121325
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/resources/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 86444
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:53:50 +0700] "GET /clbtinhoc/resources/admin/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37090
